"Alert Variables","Alert Variables"
"Store View","Store View"
"Follow Up","Follow Up"
"First","First"
"Second","Second"
"Third","Third"
"Alert Will Be Sent On","Alert Will Be Sent On"
"Customer E-mail","Customer E-mail"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Products","Products"
"Save and Send Out","Save and Send Out"
"Abandoned Cart Alert","Abandoned Cart Alert"
"ID","ID"
"Abandoned At","Abandoned At"
"Scheduled At","Scheduled At"
"Status","Status"
"Pending","Pending"
"Not Sent","Not Sent"
"Cancelled","Cancelled"
"Send and Save to History","Send and Save to History"
"Are you sure?","Are you sure?"
"Delete","Delete"
"Customer Name","Customer Name"
"Message","Message"
"Sent Alert","Sent Alert"
"Sent On","Sent On"
"Recovered On","Recovered On"
"Remote IP","Remote IP"
"Update Queue Now","Update Queue Now"
"Alerts Queue","Alerts Queue"
"Add Alert","Add Alert"
"Sent Alerts","Sent Alerts"
"Carts Alerts","Carts Alerts"
"Item does not exist","Item does not exist"
"Alert has been successfully sent and deleted","Alert has been successfully sent and deleted"
"Can not send the ID %d. Please check the email address and your server configuration","Can not send the ID %d. Please check the email address and your server configuration"
"Alert has been successfully saved","Alert has been successfully saved"
"Unable to find item to save","Unable to find item to save"
"Please select cartalert(s)","Please select cartalert(s)"
"Total of %d record(s) were successfully deleted","Total of %d record(s) were successfully deleted"
"Can not send the alert ID %d. Please check the email address and your server configuration","Can not send the alert ID %d. Please check the email address and your server configuration"
"Total of %d email(s) have been successfully sent","Total of %d email(s) have been successfully sent"
"Total of %d email(s) haven't been successfully sent: no visible products","Total of %d email(s) haven't been successfully sent: no visible products"
"Alert has been deleted","Alert has been deleted"
"Alerts for carts abandoned from %s to %s have been successfully added to the queue","Alerts for carts abandoned from %s to %s have been successfully added to the queue"
"Unable to update queue","Unable to update queue"
"History","History"
"Abandoned Carts Alerts","Abandoned Carts Alerts"
"Pending Alerts","Pending Alerts"
"Abandoned Cart: The First Follow Up","Abandoned Cart: The First Follow Up"
"Abandoned Cart: The Second Follow Up","Abandoned Cart: The Second Follow Up"
"Abandoned Cart: The Third Follow Up","Abandoned Cart: The Third Follow Up"
"Send E-mails","Send E-mails"
"If set to ""No"", alert emails will be generated, but won't be sent
automatically, while manual sending will be allowed","If set to ""No"", alert emails will be generated, but won't be sent
automatically, while manual sending will be allowed"
"Email Sender","Email Sender"
"First Delay Period (minutes)","First Delay Period (minutes)"
"The system will send the first follow up email after the above mentioned amount of minutes upon customer's last activity in the cart. Supported minimum is 10 minutes.","The system will send the first follow up email after the above mentioned amount of minutes upon customer's last activity in the cart. Supported minimum is 10 minutes."
"First Email Template","First Email Template"
"Second Delay Period (hours)","Second Delay Period (hours)"
"The system will send the second follow up email after the above mentioned amount of hours upon customer's last activity in the cart.","The system will send the second follow up email after the above mentioned amount of hours upon customer's last activity in the cart."
"Second Email Template","Second Email Template"
"Third Delay Period (hours)","Third Delay Period (hours)"
"The system will send the third follow up email after the above mentioned amount of hours upon customer's last activity in the cart.","The system will send the third follow up email after the above mentioned amount of hours upon customer's last activity in the cart."
"Third Email Template","Third Email Template"
"Stop alerts sending once the recipient makes a purchase","Stop alerts sending once the recipient makes a purchase"
"Stop alerts sending once the recipient clicks a link in an email","Stop alerts sending once the recipient clicks a link in an email"
"Include coupon in","Include coupon in"
"Discount type","Discount type"
"Discount amount","Discount amount"
"Expire coupon in (days)","Expire coupon in (days)"
"BCC Email","BCC Email"
"Percent of product price discount","Percent of product price discount"
"Fixed amount discount","Fixed amount discount"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
" Email Template"," Email Template"
"Friend","Friend"
