"10px","10px"
"Reports","Reports"
"Account Email","Account Email"
"Account Name","Account Name"
"Additional","Additional"
"Affiliate Account","Affiliate Account"
"Affiliate Accounts Report","Affiliate Accounts Report"
"Affiliate Plus","Affiliate Plus"
"Affiliate Plus Dashboard","Affiliate Plus Dashboard"
"Affiliate Plus Report","Affiliate Plus Report"
"Affiliateplus","Affiliateplus"
"Allow Everything","Allow Everything"
"Any","Any"
"Applies to Any of the Specified Transaction Statuses","Applies to Any of the Specified Transaction Statuses"
"Balance","Balance"
"Banner","Banner"
"Bestseller Product","Bestseller Product"
"Bestseller Products Report","Bestseller Products Report"
"CSV","CSV"
"Cancel","Cancel"
"Canceled","Canceled"
"Click Report","Click Report"
"Clicks","Clicks"
"Clicks Report","Clicks Report"
"Commission","Commission"
"Commissions","Commissions"
"Complete","Complete"
"Completed","Completed"
"Create a Report","Create a Report"
"Current Month Starts","Current Month Starts"
"Dashboard","Dashboard"
"Day","Day"
"Download CSV","Download CSV"
"Email","Email"
"Empty Rows","Empty Rows"
"Enable Charts","Enable Charts"
"Enable Frontend Report","Enable Frontend Report"
"Excel XML","Excel XML"
"Export","Export"
"From","From"
"General","General"
"Group By","Group By"
"ID","ID"
"Impressions","Impressions"
"Impressions Report","Impressions Report"
"Landing Page","Landing Page"
"Lifetime Sales","Lifetime Sales"
"Month","Month"
"N/A","N/A"
"Name","Name"
"New Account","New Account"
"No","No"
"No Data Found","No Data Found"
"No records found for this period.","No records found for this period."
"Number of Orders","Number of Orders"
"Pending","Pending"
"Period","Period"
"Please wait...","Please wait..."
"Price","Price"
"Product Name","Product Name"
"Products Name","Products Name"
"Quantity Ordered","Quantity Ordered"
"Raw","Raw"
"Raw Clicks","Raw Clicks"
"Registered On","Registered On"
"Report To Affiliate Account","Report To Affiliate Account"
"Report email template","Report email template"
"Report email template sent to affiliate account","Report email template sent to affiliate account"
"Report sending frequency","Report sending frequency"
"Reports","Reports"
"SKU","SKU"
"Sales","Sales"
"Sales Amount","Sales Amount"
"Sales Report","Sales Report"
"Select Range","Select Range"
"Select day of the month.","Select day of the month."
"Send report email to affiliates","Send report email to affiliates"
"Show Report","Show Report"
"Specified","Specified"
"Standard Earnings","Standard Earnings"
"Standard Transactions","Standard Transactions"
"Statistic","Statistic"
"Statistic Chart","Statistic Chart"
"Statistics","Statistics"
"Status","Status"
"There are no items matching this selection.","There are no items matching this selection."
"To","To"
"Top Affiliates","Top Affiliates"
"Top Traffic Sources","Top Traffic Sources"
"Total","Total"
"Total Affiliate Accounts","Total Affiliate Accounts"
"Total Amount","Total Amount"
"Total Clicks","Total Clicks"
"Total Clicks Reports","Total Clicks Reports"
"Total Commissions","Total Commissions"
"Total Impressions","Total Impressions"
"Total Impressions Reports","Total Impressions Reports"
"Total Payout","Total Payout"
"Total Sales Amount","Total Sales Amount"
"Total Sales Report","Total Sales Report"
"Total Transactions","Total Transactions"
"Total amount of Sales through Affiliate system","Total amount of Sales through Affiliate system"
"Total banner views on Affiliate sites","Total banner views on Affiliate sites"
"Total clicks to Affiliate link","Total clicks to Affiliate link"
"Traffic Activity","Traffic Activity"
"Traffic Source","Traffic Source"
"Transaction Activity","Transaction Activity"
"Transaction Status","Transaction Status"
"Transactions","Transactions"
"Type","Type"
"Unique","Unique"
"Unique Clicks","Unique Clicks"
"Unique Clicks / Total Clicks","Unique Clicks / Total Clicks"
"Unique Impressions","Unique Impressions"
"Unique Impressions / Total Impressions","Unique Impressions / Total Impressions"
"Year","Year"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Yes"
"last month","last month"
"last week","last week"
"last year","last year"
